Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-14H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-17H-ESS,Mar,FPSO ESPIRITO SANTO,""61,81662"",0,""4,58082"",0,""300,95924"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-18H-ESS,Mar,FPSO ESPIRITO SANTO,""325,41414"",0,""11,54456"",0,""347,22314"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-19H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
"2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-20H-ESS,Mar,FPSO ESPIRITO SANTO,""1110,80433"",0,""86,26178"",0,""2,20279"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-2H-ESS,Mar,FPSO ESPIRITO SANTO,""57,66712"",0,""3,4221"",0,""163,57575"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-3H-ESS,Mar,FPSO ESPIRITO SANTO,""24,96966"",0,""2,65004"",0,""1238,77007"",,,,,,,,"
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-4HC-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-5H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-8H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-ARGO-9H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-NAU-1H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-NAU-2H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-NAU-3H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,7-NAU-4H-ESS,Mar,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-ARGO-11H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-ARGO-12H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-ARGO-6H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-ARGO-7H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-NAU-5H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
2021,01/2021,Espírito Santo,Campos,ARGONAUTA,8-NAU-6H-ESS,Mar,FPSO ESPIRITO SANTO,,,,,,0,0,0,0,0,0,0,0
"2021,01/2021,Espírito Santo,Campos,BALEIA ANÃ,7-BLA-1HA-ESS,Mar,PETROBRAS 58,""16561,381"",0,""902,89904"",0,""100110,997"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,3-BRSA-149HP-ESS,Mar,PETROBRAS 57,""20044,788"",0,""1086,60195"",0,""104617,911"",,,,,,,,"
"2021,01/2021,Espírito Santo,Campos,JUBARTE,6-BRSA-1222A-ESS,Mar,PETROBRAS 58,""85273,855"",0,""18855,87744"",0,""39797,275"",,,,,,,,"
