ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;DESCRITOR_HABILIDADE;GABARITO
9;Prova Regular;LP;9;5;13;66137;16;B
9;Prova Regular;LP;9;6;1;34752;1;B
9;Prova Regular;LP;9;6;2;34409;3;B
9;Prova Regular;LP;9;6;3;45623;5;A
9;Prova Regular;LP;9;6;4;34585;4;C
9;Prova Regular;LP;9;6;5;34755;18;B
9;Prova Regular;LP;9;6;6;34389;9;C
9;Prova Regular;LP;5;6;7;95604;15;C
9;Prova Regular;LP;5;6;8;95019;2;D
9;Prova Regular;LP;5;6;9;95989;9;C
9;Prova Regular;LP;9;6;10;34088;8;D
9;Prova Regular;LP;9;6;11;34034;11;C
9;Prova Regular;LP;9;6;12;19880;15;B
9;Prova Regular;LP;9;6;13;34743;16;C
9;Prova Regular;LP;9;7;1;69397;2;A
9;Prova Regular;LP;9;7;2;34151;1;C
9;Prova Regular;LP;9;7;3;69582;9;D
9;Prova Regular;LP;9;7;4;19831;6;B
9;Prova Regular;LP;9;7;5;34371;21;C
9;Prova Regular;LP;9;7;6;69946;3;B
9;Prova Regular;LP;5;7;7;96121;5;C
9;Prova Regular;LP;5;7;8;95321;9;A
9;Prova Regular;LP;5;7;9;96091;13;B
9;Prova Regular;LP;9;7;10;65021;14;A
9;Prova Regular;LP;9;7;11;20399;18;A
9;Prova Regular;LP;9;7;12;65710;11;C
9;Prova Regular;LP;9;7;13;66130;17;D
9;Macrotipo 18 e 24;LP;9;1;1;68682;12;D
9;Macrotipo 18 e 24;LP;9;1;2;34507;8;B
